,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
0,14852,MS11414852,"ROBERTS, Charles Patrick (Pat)",KS,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
1,14858,MS11414858,"SCHUMER, Charles Ellis (Chuck)",NY,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
2,14871,MS11414871,"WYDEN, Ronald Lee",OR,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
3,29722,MS11429722,"MORAN, Jerry",KS,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
4,41500,MS11441500,"SULLIVAN, Daniel Scott",AK,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
5,41501,MS11441501,"PERDUE, David Alfred, Jr.",GA,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
6,41502,MS11441502,"ERNST, Joni",IA,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
7,41503,MS11441503,"SASSE, Benjamin Eric",NE,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
8,41504,MS11441504,"TILLIS, Thomas Roland (Thom)",NC,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
9,41505,MS11441505,"ROUNDS, Marion Michael (Mike)",SD,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
10,49700,MS11449700,"SESSIONS, Jefferson Beauregard III (Jeff)",AL,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
11,29735,MS11429735,"BLUNT, Roy",MO,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
12,49706,MS11449706,"ENZI, Michael B.",WY,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
13,15408,MS11415408,"CARDIN, Benjamin Louis",MD,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
14,29754,MS11429754,"THUNE, John",SD,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
15,15424,MS11415424,"INHOFE, James Mountain",OK,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
16,14921,MS11414921,"McCONNELL, Addison Mitchell (Mitch)",KY,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
17,14435,MS11414435,"MARKEY, Edward John",MA,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
18,14440,MS11414440,"MIKULSKI, Barbara Ann",MD,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
19,21112,MS11421112,"GARDNER, Cory",CO,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
20,20100,MS11420100,"FLAKE, Jeff",AZ,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
21,20101,MS11420101,"BOOZMAN, John",AR,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
22,29548,MS11429548,"BURR, Richard M.",NC,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
23,41101,MS11441101,"BLUMENTHAL, Richard",CT,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
24,41102,MS11441102,"RUBIO, Marco",FL,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
25,41104,MS11441104,"PAUL, Rand",KY,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
26,41106,MS11441106,"AYOTTE, Kelly",NH,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
27,41107,MS11441107,"HOEVEN, John",ND,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
28,49300,MS11449300,"FEINSTEIN, Dianne",CA,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
29,41110,MS11441110,"LEE, Mike",UT,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
30,41111,MS11441111,"JOHNSON, Ron",WI,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
31,41112,MS11441112,"SCHATZ, Brian Emanuel",HI,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
32,49308,MS11449308,"MURRAY, Patty",WA,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
33,29345,MS11429345,"CRAPO, Michael Dean",ID,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
34,15011,MS11415011,"BOXER, Barbara",CA,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
35,14503,MS11414503,"HATCH, Orrin Grant",UT,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
36,15021,MS11415021,"DURBIN, Richard Joseph",IL,6,100,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
37,21166,MS11421166,"LANKFORD, James",OK,1,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
38,20146,MS11420146,"CAPITO, Shelley Moore",WV,6,200,RS1140395,Senate,114,2016-04-20,395,"To eliminate funding for the Appalachian Regional Commission, the Delta Regional Authority, the Denali Commission, and the Northern Border Regional Commission."
